isodate,hospitalizados
2021-02-14,16242
2021-02-15,14550
2021-02-16,14997
2021-02-17,14477
2021-02-18,13964
2021-02-19,13702
2021-02-20,12751
2021-02-21,12755
2021-02-22,12798
2021-02-23,12409
2021-02-24,11988
2021-02-25,11793
2021-02-26,11726
2021-02-27,11066
2021-02-28,11100
2021-03-01,11338
2021-03-02,11123
2021-03-03,11097
2021-03-04,10993
2021-03-05,10785
2021-03-06,9964
2021-03-07,10192
2021-03-08,10160
2021-03-09,10533
2021-03-10,10234
2021-03-11,9744
2021-03-12,9702
2021-03-13,9182
2021-03-14,8911
2021-03-15,8797
2021-03-16,9255
2021-03-17,9071
2021-03-18,8745
2021-03-19,8536
2021-03-20,7621
2021-03-21,7615
2021-03-22,8002
2021-03-23,7877
2021-03-24,7879
2021-03-25,7815
2021-03-26,7575
2021-03-27,7185
2021-03-28,6913
2021-03-29,7323
2021-03-30,7006
2021-03-31,7020
2021-04-01,6728
2021-04-02,6776
2021-04-03,6140
2021-04-04,6561
2021-04-05,6800
2021-04-06,6724
2021-04-07,6730
2021-04-08,6593
2021-04-09,6543
2021-04-10,5946
2021-04-11,5979
2021-04-12,6431
2021-04-13,6448
2021-04-14,6291
2021-04-15,6096
2021-04-16,5894
2021-04-17,5485
2021-04-18,5498
2021-04-19,5872
2021-04-20,5752
2021-04-21,5623
2021-04-22,5406
2021-04-23,4961
2021-04-24,4829
2021-04-25,4879
2021-04-26,5125
2021-04-27,5078
2021-04-28,5009
2021-04-29,4894
2021-04-30,4610
2021-05-01,4287
2021-05-03,4284
2021-05-04,4388
2021-05-05,4199
2021-05-06,4232
2021-05-07,3961
2021-05-08,3795
2021-05-09,3557
2021-05-10,3817
2021-05-11,3953
2021-05-12,3757
2021-05-13,3657
2021-05-14,3590
2021-05-15,3419
2021-05-16,3235
2021-05-17,3445
2021-05-18,2549
2021-05-19,3219
2021-05-20,2623
2021-05-21,3204
2021-05-22,3018
2021-05-23,1274
2021-05-24,3148
2021-05-25,3134
2021-05-26,3076
2021-05-27,3007
2021-05-28,2946
2021-05-29,2791
2021-05-30,2680
2021-05-31,2825
2021-06-01,3066
2021-06-02,2956
2021-06-03,2888
2021-06-04,2850
2021-06-05,2774
2021-06-06,2708
2021-06-07,2941
2021-06-08,2838
2021-06-09,3010
2021-06-10,2925
2021-06-12,2881
2021-06-13,2881
2021-06-14,3127
2021-06-15,3210
2021-06-16,3170
2021-06-17,3203
2021-06-18,3132
2021-06-19,2962
2021-06-20,3010
2021-06-21,3297
2021-06-22,3238
2021-06-23,3283
2021-06-24,3218
2021-06-25,3317
2021-06-26,3146
2021-06-27,3263
2021-06-28,3365
2021-06-29,3584
2021-06-30,3690
2021-07-01,3699
2021-07-02,3703
2021-07-03,3636
2021-07-04,3784
2021-07-05,4045
2021-07-06,4103
2021-07-07,4210
2021-07-08,4169
2021-07-09,4420
2021-07-10,4412
2021-07-11,4546
2021-07-12,4983
2021-07-13,5295
2021-07-14,5415
2021-07-15,5670
2021-07-16,5890
2021-07-17,5880
2021-07-18,6177
2021-07-19,6668
2021-07-20,6975
2021-07-21,7164
2021-07-22,7576
2021-07-23,7774
2021-07-24,7836
2021-07-25,8170
2021-07-26,8864
2021-07-27,8995
2021-07-28,9574
2021-07-29,9858
2021-07-30,10075
2021-07-31,9773
2021-08-01,10313
2021-08-02,11101
2021-08-03,11251
2021-08-04,11752
2021-08-05,11704
2021-08-06,11997
2021-08-07,11832
2021-08-08,12085
2021-08-09,12696
2021-08-10,12989
2021-08-11,13012
2021-08-12,13185
2021-08-13,13092
2021-08-14,12970
2021-08-15,12970
2021-08-16,13547
2021-08-17,13710
2021-08-18,13907
2021-08-19,14050
2021-08-20,13771
2021-08-21,13507
2021-08-22,13575
2021-08-23,13980
2021-08-24,14109
2021-08-25,13660
2021-08-26,13551
2021-08-27,13255
2021-08-28,12779
2021-08-29,12761
2021-08-30,12813
2021-08-31,12981
2021-09-01,12658
2021-09-02,12524
2021-09-03,12280
2021-09-04,11729
2021-09-05,11343
2021-09-06,11456
2021-09-07,11369
2021-09-08,10913
2021-09-09,10659
2021-09-10,10468
2021-09-11,10050
2021-09-12,9956
2021-09-13,9955
2021-09-14,9922
2021-09-15,9712
2021-09-16,9440
